The Dolphins
Red Dragons
Cosmic Foxes
Silver Wolves
Thunder Hawks
Neon Tigers
Golden Bears
Emerald Vipers
Crimson Eagles
Midnight Owls
Blazing Comets
Iron Giants
Lunar Sharks
Sapphire Lions
Wild Stallions
Arctic Foxes
Shadow Panthers
Solar Falcons
Storm Chasers
Desert Wolves
Jade Serpents
Bronze Titans
Frost Giants
Lava Hawks
Prism Bears
Quantum Foxes
Electric Eels
Obsidian Ravens
Cobalt Sharks
Amber Wolves
Neon Vipers
Crystal Eagles
Dark Horses
Blaze Runners
Tidal Waves
Fire Starters
Star Chasers
Night Owls
Swift Falcons
Roaring Lions
